LastName|FirstName|Gender|FavoriteColor|DateOfBirth
Stanley|Todd|Male|Pink|8/8/1961
Snyder|Carolyn|Female|Yellow|5/12/1980
Fisher|Marilyn|Female|Purple|5/7/1966
Kelley|Susan|Female|Khaki|12/25/1945
Berry|Jennifer|Female|Purple|3/25/1978
Riley|Anne|Female|Fuscia|2/23/1974
Crawford|Daniel|Male|Yellow|8/3/1966
Hunter|Christine|Female|Violet|7/23/1963
Morrison|Terry|Male|Red|6/17/1997
Carpenter|Patrick|Male|Aquamarine|9/26/1994
Lopez|William|Male|Yellow|6/22/1978
Rogers|Joseph|Male|Turquoise|12/11/1999
Torres|Timothy|Male|Fuscia|3/3/1957
Frazier|Justin|Male|Green|2/23/1963
Welch|Pamela|Female|Purple|2/11/1996
Mendoza|Thomas|Male|Green|6/18/2002
Taylor|Beverly|Female|Turquoise|3/9/1979
Richardson|Jennifer|Female|Violet|6/13/1989
Flores|Richard|Male|Aquamarine|5/26/2001
Webb|Theresa|Female|Violet|9/30/1949
Myers|Katherine|Female|Fuscia|9/3/1986
Burton|Jimmy|Male|Aquamarine|5/19/1987
Alexander|Walter|Male|Violet|1/14/1950
Morrison|Joshua|Male|Khaki|12/27/1966
Hunt|Denise|Female|Purple|11/20/1978
Bradley|Billy|Male|Orange|1/1/1973
Anderson|Jacqueline|Female|Pink|8/5/1988
Owens|Randy|Male|Fuscia|3/15/1985
Young|Cheryl|Female|Teal|12/30/1998
Myers|Craig|Male|Khaki|4/24/1953
Stewart|Elizabeth|Female|Fuscia|8/24/2000
Mason|Louis|Male|Aquamarine|1/26/1974
Brown|Angela|Female|Green|6/7/1973
Gibson|Martin|Male|Green|8/23/1978
Thompson|Patricia|Female|Purple|12/20/2000
Alvarez|Timothy|Male|Orange|6/16/1965
Barnes|Anthony|Male|Red|3/11/2001
Reynolds|Denise|Female|Fuscia|7/2/1947
Lawson|James|Male|Goldenrod|8/16/1958
Hart|Steve|Male|Maroon|3/30/1963
Cooper|Eugene|Male|Purple|6/14/1962
Spencer|Dennis|Male|Orange|4/30/1982
James|Russell|Male|Puce|10/1/1993
Sims|Catherine|Female|Crimson|8/5/1958
Greene|Ashley|Female|Maroon|4/1/1964
Hart|Jack|Male|Red|10/26/1954
Alexander|Jason|Male|Violet|4/22/1992
Cook|Carol|Female|Green|11/23/1994
Ray|Anne|Female|Green|8/16/1986
Myers|Joshua|Male|Crimson|10/14/1965
Clark|Russell|Male|Violet|6/8/1994
Johnson|Shirley|Female|Purple|3/18/1976
Harper|Mark|Male|Teal|4/25/1998
Morgan|Todd|Male|Aquamarine|1/8/1963
Medina|Janet|Female|Indigo|2/23/1968
Johnson|Alan|Male|Aquamarine|2/4/1976
Oliver|Janice|Female|Purple|9/13/1984
Thompson|Lisa|Female|Aquamarine|2/8/1994
Holmes|Jerry|Male|Pink|7/23/2001
Oliver|Todd|Male|Puce|8/9/1969
Myers|Andrew|Male|Fuscia|3/21/1985
Gilbert|Julia|Female|Red|12/3/1976
Mitchell|Sharon|Female|Crimson|9/2/1998
Hunt|Wanda|Female|Blue|8/20/1964
Ellis|Brian|Male|Pink|8/2/1996
Duncan|Irene|Female|Purple|12/3/1952
Sanders|Carolyn|Female|Orange|4/8/1983
Sullivan|Sarah|Female|Maroon|12/12/1990
Black|Denise|Female|Yellow|5/10/2001
Murphy|Paula|Female|Puce|11/21/1986
Wells|Sandra|Female|Yellow|12/7/1997
Romero|Catherine|Female|Puce|8/10/1985
Woods|Terry|Male|Mauv|3/21/1962
Shaw|Ralph|Male|Fuscia|1/18/1967
Hansen|Tammy|Female|Mauv|4/9/1991
Nguyen|Marilyn|Female|Turquoise|10/7/1974
Gutierrez|Ryan|Male|Fuscia|9/15/1960
Burns|Bonnie|Female|Indigo|11/25/1948
Jones|Cheryl|Female|Indigo|4/19/1989
Sullivan|Judith|Female|Crimson|2/19/1979
Brooks|Barbara|Female|Goldenrod|11/28/1947
Lynch|Roger|Male|Violet|3/20/1997
Owens|Ann|Female|Teal|2/24/1998
Roberts|Louise|Female|Orange|1/24/1968
Banks|Kimberly|Female|Maroon|12/21/1957
Peterson|Jessica|Female|Maroon|3/28/1976
Cox|Janice|Female|Red|8/21/1995
Stone|Deborah|Female|Green|1/27/1995
Fuller|Sara|Female|Maroon|11/28/1998
Garrett|Jane|Female|Puce|2/18/1989
Collins|Louise|Female|Khaki|4/30/1969
White|Nicole|Female|Red|6/2/1964
Russell|Karen|Female|Red|4/18/1952
Romero|Elizabeth|Female|Fuscia|1/17/1994
Stewart|Deborah|Female|Yellow|1/8/1970
Edwards|Phillip|Male|Aquamarine|6/29/1962
Mccoy|Michael|Male|Green|11/12/1961
Thompson|Sarah|Female|Crimson|4/16/1969
Harrison|Keith|Male|Fuscia|10/27/1947
Alexander|Eugene|Male|Teal|10/18/1947
Shaw|Jimmy|Male|Turquoise|12/16/1996
Collins|Gerald|Male|Green|8/17/1949
Ortiz|Patrick|Male|Mauv|6/19/1966
Miller|Samuel|Male|Orange|11/15/1981
Franklin|Patricia|Female|Blue|6/15/1996
Roberts|Paula|Female|Orange|7/20/1973
White|Louise|Female|Turquoise|7/9/1973
Hicks|Kevin|Male|Aquamarine|4/6/1973
Barnes|William|Male|Goldenrod|11/9/1960
Carpenter|Justin|Male|Turquoise|3/21/1987
Moore|Frank|Male|Orange|7/20/1975
Robinson|Raymond|Male|Turquoise|12/17/1990
Crawford|Roy|Male|Orange|1/13/1950
Hughes|Walter|Male|Crimson|2/4/1949
Warren|Juan|Male|Red|5/16/1969
Day|Craig|Male|Mauv|7/18/2003
Gomez|Amy|Female|Teal|6/18/1973
Hayes|Lillian|Female|Green|7/4/1974
Anderson|Kathy|Female|Pink|6/12/1961
Garcia|Jacqueline|Female|Teal|11/18/1963
Kennedy|Harold|Male|Goldenrod|9/8/1967
Gibson|Joe|Male|Purple|4/13/1947
Lawrence|Jane|Female|Indigo|10/19/1952
Cole|Emily|Female|Crimson|10/16/1948
Richardson|Doris|Female|Green|3/5/1988
Cox|Tina|Female|Fuscia|4/28/2003
Simmons|Stephanie|Female|Fuscia|12/10/1946
Ortiz|Albert|Male|Goldenrod|5/24/1975
Murray|Bonnie|Female|Indigo|7/23/1959
Turner|Cheryl|Female|Purple|10/14/1990
Palmer|Shirley|Female|Indigo|6/17/1961
Fernandez|Kelly|Female|Teal|12/13/1982
Patterson|Edward|Male|Crimson|2/8/1967
Porter|Brenda|Female|Purple|6/18/1987
Young|Paula|Female|Indigo|3/17/1954
