LastName,FirstName,Gender,FavoriteColor,DateOfBirth
Young,Melissa,Female,Goldenrod,9/11/1956
Nichols,Laura,Female,Violet,1/13/1984
Sullivan,Frances,Female,Green,11/2/1981
Dixon,Scott,Male,Mauv,9/1/1971
Cruz,Antonio,Male,Puce,12/30/1968
Hayes,Judy,Female,Fuscia,9/9/1970
Nguyen,Norma,Female,Puce,11/5/1986
Harris,Jeffrey,Male,Indigo,11/9/1965
Hall,Ronald,Male,Blue,10/30/1986
Willis,Melissa,Female,Aquamarine,9/14/1952
Chavez,Jessica,Female,Mauv,6/20/1992
Rose,Frank,Male,Maroon,2/4/1953
Graham,Martha,Female,Red,12/6/1995
Allen,Arthur,Male,Mauv,9/8/1981
Turner,Ernest,Male,Blue,10/12/1975
Ellis,Frances,Female,Goldenrod,2/26/2000
Long,Maria,Female,Pink,5/18/1987
Young,Gerald,Male,Teal,1/26/2002
Murray,Amanda,Female,Maroon,8/24/1954
Hanson,Arthur,Male,Violet,5/23/1986
Simpson,Keith,Male,Red,11/23/1983
Howell,Kimberly,Female,Purple,9/26/1965
Gilbert,Tammy,Female,Indigo,5/29/1974
Berry,Carolyn,Female,Fuscia,10/21/1983
Smith,Stephen,Male,Indigo,6/22/1946
Perez,Donna,Female,Puce,4/4/1992
Shaw,Arthur,Male,Green,10/12/1979
Green,Jason,Male,Turquoise,2/23/1971
Dunn,Aaron,Male,Purple,7/7/1977
Myers,Bobby,Male,Blue,5/19/1961
Bowman,Christina,Female,Orange,4/27/1997
Murray,Harold,Male,Blue,4/2/1982
Williamson,Steve,Male,Purple,11/1/1962
Clark,Jack,Male,Maroon,12/8/1966
Griffin,Irene,Female,Mauv,4/22/1985
Simpson,Clarence,Male,Teal,12/30/1969
Baker,Sharon,Female,Violet,1/7/1971
Romero,Shirley,Female,Crimson,10/16/1978
Davis,Patricia,Female,Goldenrod,11/19/1995
Mccoy,Bruce,Male,Khaki,10/15/1981
Rice,Ruby,Female,Purple,2/19/1985
Larson,Adam,Male,Aquamarine,1/26/1992
Watson,Matthew,Male,Maroon,4/6/1950
Brown,Julie,Female,Aquamarine,4/4/1954
Fuller,Kathleen,Female,Khaki,11/29/1979
Graham,Theresa,Female,Aquamarine,5/7/1988
Kelly,Clarence,Male,Aquamarine,8/24/1972
Shaw,Barbara,Female,Fuscia,3/16/1957
Harris,Jack,Male,Red,1/12/1978
Brooks,Melissa,Female,Teal,6/21/1976
Grant,Donald,Male,Fuscia,10/18/1966
Morgan,Juan,Male,Orange,2/24/1969
Morales,Arthur,Male,Purple,4/25/1997
Ryan,Karen,Female,Crimson,9/14/2002
Morales,Ryan,Male,Fuscia,4/14/1973
Meyer,Debra,Female,Yellow,6/15/1990
Ford,Samuel,Male,Blue,7/9/1956
Davis,Ryan,Male,Orange,12/8/1980
Taylor,Rebecca,Female,Violet,4/8/2002
Wells,Walter,Male,Mauv,7/24/1985
Williams,Barbara,Female,Aquamarine,11/24/1987
Fowler,Ann,Female,Maroon,6/9/1953
Thompson,Antonio,Male,Maroon,9/7/1972
Hawkins,Johnny,Male,Maroon,3/31/1988
Berry,Billy,Male,Goldenrod,4/1/1994
Jordan,Jeremy,Male,Puce,12/12/1985
Mcdonald,Carlos,Male,Puce,12/19/1983
Oliver,Edward,Male,Puce,6/8/1987
Collins,Bonnie,Female,Teal,4/7/1950
Williamson,Brian,Male,Green,9/21/1979
Powell,Lois,Female,Indigo,6/17/1970
Turner,Chris,Male,Mauv,10/25/1983
Jordan,Doris,Female,Green,3/18/1946
Spencer,Matthew,Male,Fuscia,3/10/1984
Carter,Terry,Male,Fuscia,2/3/1975
Howell,Harold,Male,Turquoise,7/23/1998
Green,Jimmy,Male,Red,9/9/1981
Howard,Patricia,Female,Indigo,3/12/1993
Ortiz,Alice,Female,Purple,11/19/1947
Hernandez,Katherine,Female,Aquamarine,4/24/1956
Lynch,Doris,Female,Maroon,12/15/1974
Hart,Amy,Female,Red,8/7/1952
Gomez,Carolyn,Female,Violet,10/25/1982
Flores,Debra,Female,Green,12/5/1956
