LastName FirstName Gender FavoriteColor DateOfBirth
Hamilton Maria Female Mauv 3/18/1999
Kennedy Mark Male Turquoise 8/1/1996
Welch Adam Male Red 7/18/1996
Alexander Donald Male Green 6/18/1981
Romero Kathryn Female Orange 11/8/1956
Richardson Harry Male Mauv 3/11/1953
Ramos Sandra Female Indigo 9/21/1999
Hamilton Kevin Male Crimson 3/16/1993
Hawkins Carol Female Fuscia 10/21/1980
James Kelly Female Teal 3/11/1979
Barnes Jonathan Male Khaki 11/28/1968
Fox Helen Female Aquamarine 2/8/1952
Dixon Steven Male Puce 6/12/1984
Austin Joe Male Teal 3/28/1980
Ford Ralph Male Teal 10/22/1989
Dixon Janice Female Yellow 1/2/1949
Carroll Evelyn Female Orange 7/20/1998
King Katherine Female Aquamarine 11/1/1967
Perry Carl Male Violet 4/5/1965
Alexander John Male Yellow 7/9/1957
Fuller Louise Female Turquoise 6/21/1966
Gordon Bruce Male Aquamarine 11/21/1965
Jenkins Norma Female Maroon 7/18/1995
Evans Janice Female Indigo 6/26/1947
Williams Janet Female Blue 3/5/1984
Gilbert Karen Female Yellow 9/2/1951
Sanders Donna Female Khaki 9/14/1969
Miller Julie Female Orange 12/18/1988
Carpenter Philip Male Green 6/11/1969
Andrews Patricia Female Indigo 4/20/1965
Washington Barbara Female Maroon 11/30/1978
Moreno Jesse Male Goldenrod 2/6/1984
Perkins Joan Female Turquoise 10/11/1965
Davis Barbara Female Turquoise 2/14/1987
Sanders Terry Male Khaki 6/24/1981
Garrett Harry Male Indigo 10/28/1978
Richardson Robin Female Yellow 8/23/1967
Hawkins Rose Female Khaki 5/20/1984
Pierce Earl Male Pink 8/5/1977
Little Philip Male Blue 4/25/1975
Clark Jacqueline Female Orange 7/7/1968
Bailey Joseph Male Purple 11/28/2000
Crawford Tammy Female Teal 10/5/1958
Wheeler Rachel Female Teal 9/12/1990
Morrison Kathy Female Purple 7/22/2000
Watkins Christine Female Red 3/27/1973
Thomas Christine Female Blue 5/16/1974
Rose Dennis Male Green 1/3/1947
Fisher Joe Male Teal 10/10/1989
King Alice Female Aquamarine 5/11/1999
Castillo Harry Male Orange 5/6/1961
Murray Marie Female Aquamarine 7/1/1987
Black Peter Male Yellow 3/9/1979
Cox Martin Male Fuscia 6/21/1980
Fisher Debra Female Red 10/13/1961
Grant Janice Female Orange 1/13/1992
Perez Doris Female Teal 6/1/1980
